Timestamp	GPU Usage Percentage	GPU Total Mem Usage	GPU Total Mem Usage Percentage	Process Mem Usage
1626532318.7410667	0	1733	21.72	
1626532318.7659411	0	1733	21.72	
1626532318.7906523	0	1733	21.72	
1626532318.8183382	0	1733	21.72	
1626532318.842896	0	1733	21.72	
1626532318.8697932	0	1733	21.72	
1626532318.900424	0	1733	21.72	
1626532318.931694	0	1733	21.72	
1626532318.9623532	0	1733	21.72	
1626532318.9864204	0	1733	21.72	
1626532319.0136178	0	1733	21.72	
1626532319.051154	0	1733	21.72	
1626532319.090617	0	1733	21.72	
1626532319.1300275	0	1733	21.72	
1626532319.1693861	0	1733	21.72	
1626532319.2084808	0	1733	21.72	
1626532319.2478714	0	1733	21.72	
1626532319.2870615	0	1733	21.72	
1626532319.3263083	0	1733	21.72	
1626532319.366176	0	1733	21.72	
1626532319.4056108	0	1733	21.72	
1626532319.4450011	0	1733	21.72	
1626532319.4848356	0	1733	21.72	
1626532319.5245361	0	1733	21.72	
1626532319.5633025	0	1733	21.72	
1626532319.5936842	0	1733	21.72	
1626532319.6243753	0	1733	21.72	
1626532319.6488957	0	1733	21.72	
1626532319.6732135	0	1733	21.72	
1626532319.6998696	0	1733	21.72	
1626532319.726372	0	1733	21.72	
1626532319.7517314	0	1733	21.72	
1626532319.7764869	0	1733	21.72	
1626532319.80121	0	1733	21.72	
1626532319.8285866	0	1733	21.72	
1626532319.852558	0	1733	21.72	
1626532319.8772078	0	1733	21.72	
1626532319.903148	0	1733	21.72	
1626532319.930298	0	1733	21.72	
1626532319.9559853	0	1733	21.72	
1626532319.9815598	0	1733	21.72	
1626532320.0241194	0	1733	21.72	
1626532320.049222	0	1733	21.72	
1626532320.0742579	0	1733	21.72	
1626532320.0992408	0	1733	21.72	
1626532320.1244493	0	1733	21.72	
1626532320.1503057	0	1733	21.72	
1626532320.176692	0	1733	21.72	
1626532320.2025447	0	1733	21.72	
1626532320.2284343	0	1733	21.72	
1626532320.2539942	0	1733	21.72	
1626532320.2804956	0	1733	21.72	
1626532320.3076704	0	1733	21.72	
1626532320.3327925	0	1733	21.72	
1626532320.3585258	0	1733	21.72	
1626532320.3856108	0	1733	21.72	
1626532320.4226253	0	1733	21.72	
1626532320.4489133	0	1733	21.72	
1626532320.4739516	0	1733	21.72	
1626532320.5015678	0	1733	21.72	
1626532320.5324643	0	1733	21.72	
1626532320.5651772	0	1733	21.72	
1626532320.596954	0	1733	21.72	
1626532320.626527	0	1733	21.72	
1626532320.6504421	0	1733	21.72	
1626532320.6752486	0	1733	21.72	
1626532320.702855	0	1733	21.72	
1626532320.7309346	0	1733	21.72	
1626532320.7592986	0	1733	21.72	
1626532320.7871287	0	1733	21.72	
1626532320.815488	0	1733	21.72	
1626532320.8441668	1	1733	21.72	
1626532320.8721173	1	1733	21.72	
1626532320.9003248	1	1733	21.72	
1626532320.9291904	1	1733	21.72	
1626532320.9571595	1	1733	21.72	
1626532320.981944	1	1733	21.72	
1626532321.0092788	1	1733	21.72	
1626532321.038505	1	1733	21.72	
1626532321.0670576	1	1733	21.72	
1626532321.0954106	1	1733	21.72	
1626532321.1236577	1	1733	21.72	
1626532321.1520627	1	1733	21.72	
1626532321.1804898	1	1733	21.72	
1626532321.208891	1	1733	21.72	
1626532321.2370443	1	1733	21.72	
1626532321.2655823	1	1733	21.72	
1626532321.294206	1	1733	21.72	
1626532321.3224473	1	1733	21.72	
1626532321.350769	1	1733	21.72	
1626532321.3797526	1	1733	21.72	
1626532321.4082124	1	1733	21.72	
1626532321.436563	1	1733	21.72	
1626532321.4649293	1	1733	21.72	
1626532321.494012	1	1733	21.72	
1626532321.5186799	1	1733	21.72	
1626532321.5438168	1	1733	21.72	
1626532321.5697572	1	1733	21.72	
1626532321.6039588	1	1733	21.72	
1626532321.6344953	1	1733	21.72	
1626532321.6602519	1	1733	21.72	
1626532321.6888175	1	1733	21.72	
1626532321.7229412	1	1733	21.72	
1626532321.7626128	1	1733	21.72	
1626532321.802187	1	1733	21.72	
1626532321.8415427	1	1733	21.72	
1626532321.8806407	0	1733	21.72	
1626532321.9195635	0	1733	21.72	
1626532321.958817	0	1733	21.72	
1626532321.9977665	0	1733	21.72	
1626532322.0314221	0	1733	21.72	
1626532322.0650012	0	1733	21.72	
1626532322.0988421	0	1733	21.72	
1626532322.1328468	0	1733	21.72	
